global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
1,0.000554,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2,0.000554,inf,inf,0.006838,inf,inf,inf,inf,inf,inf,inf
3,0.000554,inf,inf,0.006838,inf,inf,inf,inf,inf,inf,0.000255
4,0.000554,0.001281,inf,0.006838,inf,inf,inf,inf,inf,inf,0.000255
5,0.000581,0.001281,inf,0.006838,inf,inf,inf,inf,inf,inf,0.000255
6,0.000581,0.001281,inf,0.006838,inf,0.001032,inf,inf,inf,inf,0.000255
7,0.000581,0.001297,inf,0.006838,inf,0.001032,inf,inf,inf,inf,0.000255
8,0.000581,0.001297,inf,0.006838,inf,0.001032,inf,inf,inf,inf,0.000253
9,0.000581,0.001297,inf,0.006838,inf,0.001024,inf,inf,inf,inf,0.000253
10,0.000581,0.001297,inf,0.005590,inf,0.001024,inf,inf,inf,inf,0.000253
100,0.000581,0.001225,0.003100,0.006673,0.001149,0.001020,0.001016,0.002174,0.001375,0.000829,0.000250
200,0.000630,0.001162,0.003093,0.007155,0.001162,0.001014,0.001016,0.002186,0.001170,0.000781,0.000237
300,0.000605,0.001081,0.003094,0.006989,0.001162,0.001015,0.001016,0.002161,0.001060,0.000715,0.000215
400,0.000562,0.001042,0.003090,0.006531,0.001161,0.001010,0.001013,0.002133,0.001056,0.000726,0.000196
500,0.000584,0.000979,0.003094,0.007539,0.001149,0.001014,0.001015,0.002176,0.001037,0.000718,0.000182
600,0.000580,0.001039,0.003095,0.006821,0.001168,0.001008,0.001010,0.002194,0.001046,0.000734,0.000178
700,0.000621,0.001069,0.003093,0.007227,0.001150,0.001012,0.001010,0.002159,0.001042,0.000609,0.000171
800,0.000591,0.001110,0.003081,0.007160,0.001156,0.001009,0.001007,0.002166,0.001052,0.000616,0.000173
900,0.000572,0.001057,0.003087,0.006485,0.001152,0.001011,0.001008,0.002148,0.001060,0.000666,0.000166
1000,0.000600,0.001111,0.003088,0.006818,0.001145,0.001013,0.001013,0.002151,0.001037,0.000603,0.000163
1100,0.000585,0.001018,0.003085,0.006255,0.001164,0.001007,0.001008,0.002158,0.001076,0.000655,0.000165
1200,0.000596,0.001003,0.003091,0.007523,0.001159,0.001014,0.001014,0.002184,0.001040,0.000580,0.000162
1300,0.000577,0.001077,0.003092,0.006478,0.001154,0.001013,0.001012,0.002174,0.001032,0.000736,0.000162
1400,0.000593,0.001073,0.003088,0.006113,0.001155,0.001011,0.001013,0.002141,0.001040,0.000647,0.000159
1500,0.000588,0.001067,0.003088,0.006823,0.001155,0.001011,0.001009,0.002177,0.001040,0.000661,0.000161
1600,0.000585,0.001086,0.003091,0.007114,0.001159,0.001010,0.001011,0.002178,0.001055,0.000641,0.000160
1700,0.000596,0.001116,0.003095,0.006796,0.001163,0.001010,0.001010,0.002169,0.001039,0.000713,0.000158
1800,0.000597,0.001002,0.003089,0.006819,0.001148,0.001012,0.001011,0.002174,0.001038,0.000675,0.000157
1900,0.000607,0.000977,0.003090,0.007495,0.001161,0.001012,0.001010,0.002176,0.001031,0.000657,0.000156
2000,0.000599,0.001010,0.003090,0.007089,0.001146,0.001017,0.001011,0.002143,0.001030,0.000682,0.000157
2100,0.000599,0.000941,0.003089,0.007015,0.001158,0.001010,0.001010,0.002158,0.001024,0.000583,0.000156
2200,0.000603,0.000944,0.003095,0.007010,0.001160,0.001013,0.001015,0.002157,0.001015,0.000652,0.000155
2300,0.000575,0.001036,0.003088,0.006982,0.001158,0.001011,0.001011,0.002156,0.001020,0.000723,0.000152
2400,0.000600,0.001047,0.003098,0.006692,0.001152,0.001008,0.001008,0.002135,0.001017,0.000652,0.000158
2500,0.000588,0.001006,0.003091,0.006813,0.001146,0.001005,0.001009,0.002154,0.001021,0.000671,0.000157
2600,0.000609,0.001054,0.003085,0.006507,0.001156,0.001009,0.001010,0.002127,0.001019,0.000687,0.000152
2700,0.000611,0.001045,0.003087,0.006621,0.001156,0.001011,0.001012,0.002159,0.001017,0.000586,0.000152
2800,0.000587,0.000969,0.003091,0.006934,0.001158,0.001007,0.001009,0.002173,0.001022,0.000662,0.000152
2900,0.000600,0.001008,0.003091,0.007686,0.001157,0.001010,0.001011,0.002204,0.001022,0.000663,0.000151
3000,0.000611,0.000984,0.003091,0.005736,0.001159,0.001015,0.001014,0.002153,0.001013,0.000744,0.000150
3100,0.000574,0.001054,0.003095,0.007542,0.001156,0.001008,0.001006,0.002133,0.001010,0.000664,0.000154
3200,0.000606,0.000984,0.003088,0.007124,0.001157,0.001011,0.001009,0.002105,0.001011,0.000714,0.000153
3300,0.000616,0.000995,0.003088,0.007129,0.001152,0.001005,0.001007,0.002151,0.001014,0.000656,0.000152
3400,0.000560,0.000991,0.003086,0.007117,0.001157,0.001012,0.001014,0.002159,0.001014,0.000612,0.000153
3500,0.000585,0.001054,0.003086,0.006142,0.001156,0.001011,0.001012,0.002189,0.001013,0.000636,0.000153
3600,0.000619,0.001001,0.003094,0.007498,0.001148,0.001010,0.001010,0.002177,0.001027,0.000603,0.000160
3700,0.000610,0.000965,0.003088,0.008084,0.001151,0.001009,0.001012,0.002159,0.001013,0.000728,0.000152
3800,0.000579,0.001034,0.003095,0.007460,0.001157,0.001010,0.001009,0.002163,0.001013,0.000640,0.000157
3900,0.000565,0.000984,0.003090,0.006789,0.001158,0.001011,0.001009,0.002148,0.001012,0.000706,0.000151
4000,0.000552,0.001027,0.003092,0.006095,0.001143,0.001010,0.001008,0.002172,0.001015,0.000708,0.000152
4100,0.000600,0.000929,0.003087,0.007096,0.001156,0.001006,0.001007,0.002183,0.001013,0.000696,0.000149
4200,0.000583,0.000963,0.003093,0.006786,0.001148,0.001015,0.001015,0.002135,0.001012,0.000704,0.000148
4300,0.000582,0.001014,0.003088,0.007315,0.001152,0.001010,0.001011,0.002166,0.001016,0.000616,0.000155
4400,0.000594,0.000963,0.003088,0.007564,0.001155,0.001009,0.001010,0.002167,0.001014,0.000672,0.000147
4500,0.000607,0.001038,0.003084,0.007132,0.001154,0.001012,0.001012,0.002127,0.001017,0.000648,0.000150
4600,0.000582,0.000983,0.003089,0.006627,0.001133,0.001008,0.001008,0.002164,0.001021,0.000711,0.000152
4700,0.000584,0.001011,0.003088,0.007093,0.001151,0.001012,0.001011,0.002159,0.001009,0.000673,0.000150
4800,0.000581,0.001042,0.003093,0.007317,0.001151,0.001007,0.001009,0.002180,0.001012,0.000665,0.000152
4900,0.000574,0.000997,0.003088,0.006639,0.001159,0.001010,0.001009,0.002140,0.001008,0.000594,0.000151
5000,0.000589,0.001105,0.003098,0.006490,0.001158,0.001006,0.001012,0.002158,0.001012,0.000714,0.000154
5100,0.000638,0.001025,0.003084,0.006018,0.001156,0.001008,0.001010,0.002112,0.001011,0.000627,0.000151
5200,0.000591,0.001040,0.003091,0.007603,0.001158,0.001011,0.001012,0.002163,0.001014,0.000662,0.000150
5300,0.000600,0.000996,0.003089,0.005982,0.001158,0.001007,0.001005,0.002152,0.001011,0.000655,0.000151
5400,0.000605,0.000949,0.003090,0.006936,0.001161,0.001012,0.001012,0.002174,0.001012,0.000679,0.000151
5500,0.000563,0.001065,0.003092,0.005547,0.001150,0.001007,0.001006,0.002173,0.001009,0.000660,0.000154
