global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
1,inf,0.000958,inf,inf,inf,inf,inf,inf,inf,inf,inf
2,inf,0.000958,inf,inf,inf,inf,inf,inf,inf,inf,0.002728
3,inf,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.002728
4,0.000572,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.002728
5,0.000570,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.002728
6,0.000570,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.004214
7,0.000570,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.003464
8,0.000570,0.000958,inf,inf,inf,inf,inf,inf,inf,0.004937,0.003190
9,0.000570,0.000958,0.003115,inf,inf,inf,inf,inf,inf,0.004937,0.003190
10,0.000570,0.000958,0.003115,inf,inf,inf,inf,inf,inf,0.004537,0.003190
100,0.000599,0.000954,0.003100,0.005388,0.001145,0.001005,0.001003,0.002162,0.028389,0.003256,0.001514
200,0.000559,0.000993,0.003105,0.007288,0.001141,0.001006,0.001004,0.002162,0.008200,0.001884,0.000724
300,0.000577,0.001010,0.003107,0.006494,0.001145,0.001009,0.001008,0.002125,0.004589,0.001194,0.000579
400,0.000576,0.001006,0.003101,0.007722,0.001128,0.001005,0.000998,0.002161,0.004176,0.001162,0.000546
500,0.000595,0.000924,0.003097,0.006233,0.001145,0.001005,0.001005,0.002172,0.003304,0.001082,0.000510
600,0.000601,0.000995,0.003103,0.006801,0.001143,0.001007,0.001005,0.002125,0.003015,0.000917,0.000423
700,0.000592,0.000974,0.003092,0.006759,0.001143,0.001003,0.001003,0.002099,0.002777,0.000896,0.000455
800,0.000584,0.000927,0.003093,0.007499,0.001141,0.001002,0.001002,0.002145,0.002553,0.000843,0.000455
900,0.000595,0.001002,0.003089,0.006586,0.001146,0.001005,0.001003,0.002146,0.002787,0.000904,0.000427
1000,0.000585,0.000927,0.003083,0.007099,0.001141,0.001002,0.001001,0.002136,0.002952,0.000850,0.000419
1100,0.000584,0.000984,0.003086,0.006803,0.001128,0.001001,0.001002,0.002124,0.003303,0.000805,0.000402
1200,0.000585,0.000890,0.003087,0.006277,0.001133,0.001001,0.001003,0.002144,0.002548,0.000730,0.000410
1300,0.000593,0.001039,0.003081,0.006986,0.001149,0.001007,0.001004,0.002153,0.002951,0.000756,0.000417
1400,0.000617,0.000985,0.003085,0.006083,0.001120,0.001000,0.001000,0.002144,0.002504,0.000778,0.000407
1500,0.000596,0.000993,0.003091,0.006966,0.001142,0.001006,0.001000,0.002162,0.002656,0.000780,0.000393
1600,0.000572,0.000940,0.003080,0.006580,0.001134,0.001006,0.001004,0.002090,0.002501,0.000698,0.000401
1700,0.000593,0.000949,0.003080,0.007155,0.001142,0.001000,0.001001,0.002161,0.002761,0.000788,0.000402
1800,0.000605,0.000976,0.003085,0.007705,0.001141,0.001000,0.000999,0.002131,0.002904,0.000592,0.000398
1900,0.000568,0.001047,0.003084,0.006946,0.001137,0.001001,0.001003,0.002127,0.002395,0.000683,0.000395
2000,0.000550,0.001069,0.003084,0.006787,0.001143,0.001003,0.000997,0.002115,0.002209,0.000728,0.000407
2100,0.000583,0.001006,0.003081,0.006759,0.001139,0.001001,0.001003,0.002140,0.002567,0.000637,0.000402
2200,0.000582,0.000959,0.003087,0.006753,0.001142,0.001008,0.001001,0.002164,0.002991,0.000700,0.000406
2300,0.000590,0.001014,0.003084,0.007371,0.001136,0.001004,0.001001,0.002151,0.002377,0.000620,0.000406
2400,0.000569,0.000945,0.003085,0.007126,0.001133,0.000999,0.001001,0.002105,0.002431,0.000684,0.000402
2500,0.000598,0.001005,0.003084,0.007796,0.001147,0.001001,0.000999,0.002097,0.002420,0.000718,0.000410
2600,0.000616,0.000961,0.003078,0.006247,0.001137,0.001003,0.001003,0.002132,0.002567,0.000685,0.000398
2700,0.000591,0.000895,0.003080,0.007705,0.001155,0.001000,0.001000,0.002152,0.002588,0.000618,0.000391
2800,0.000582,0.000893,0.003085,0.006511,0.001145,0.001002,0.001002,0.002193,0.002690,0.000628,0.000407
