global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch,secondary_solver_batch
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.006775
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.007515
3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000251,0.007515
4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000255,0.007515
5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.000255,0.006903
6,inf,inf,inf,inf,inf,0.001011,inf,inf,inf,inf,0.000255,0.006903
7,inf,inf,0.003109,inf,inf,0.001011,inf,inf,inf,inf,0.000255,0.006903
8,inf,inf,0.003109,0.006699,inf,0.001011,inf,inf,inf,inf,0.000255,0.006903
9,inf,inf,0.003109,0.008012,inf,0.001011,inf,inf,inf,inf,0.000255,0.006903
10,inf,inf,0.003109,0.008012,inf,0.001011,inf,inf,inf,inf,0.000286,0.006903
100,0.000558,0.000938,0.003081,0.006548,0.001134,0.001000,0.001005,0.002128,0.002170,0.000645,0.000390,0.003638
200,0.000582,0.000955,0.003079,0.007498,0.001139,0.001000,0.000998,0.002127,0.002543,0.000631,0.000424,0.001443
300,0.000593,0.000949,0.003079,0.006251,0.001153,0.001002,0.001002,0.002136,0.002357,0.000647,0.000383,0.000665
400,0.000628,0.000938,0.003075,0.006927,0.001142,0.001001,0.000999,0.002149,0.002545,0.000664,0.000383,0.000540
500,0.000589,0.000997,0.003080,0.006970,0.001144,0.000998,0.000998,0.002143,0.002411,0.000643,0.000389,0.000534
600,0.000565,0.000938,0.003085,0.007445,0.001137,0.001000,0.001001,0.002142,0.002346,0.000654,0.000385,0.000529
700,0.000598,0.000992,0.003078,0.007238,0.001138,0.000998,0.000998,0.002160,0.002664,0.000663,0.000350,0.000438
800,0.000597,0.000947,0.003083,0.006591,0.001137,0.000998,0.000997,0.002136,0.002627,0.000685,0.000398,0.000473
900,0.000591,0.000996,0.003076,0.005867,0.001145,0.001002,0.001001,0.002178,0.002576,0.000663,0.000384,0.000429
1000,0.000585,0.000987,inf,0.006349,0.001144,0.000998,0.000999,0.002104,0.002830,0.000642,0.000365,0.000441
1100,0.000564,0.000954,0.003079,0.007082,0.001128,0.000999,0.000997,0.002109,0.002483,0.000631,0.000354,0.000425
1200,0.000572,0.000999,0.003079,0.006972,0.001147,0.000997,0.000998,0.002156,0.002605,0.000595,0.000350,0.000434
