global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.009802
2,inf,inf,0.013693,inf,inf,inf,inf,inf,inf,0.009802
3,inf,inf,0.013693,inf,inf,0.018198,inf,inf,inf,0.009802
4,inf,inf,0.013693,inf,inf,0.018198,inf,0.033090,inf,0.009802
5,inf,inf,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.009802
6,inf,0.014173,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.009802
7,0.001300,0.014173,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.009802
8,0.001300,0.014173,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.090960
9,0.001300,0.014173,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.120291
10,0.001300,0.007966,0.013693,inf,inf,0.018198,inf,0.033090,0.027742,0.120291
100,0.034820,0.007891,0.009547,0.116458,0.014881,0.009177,0.009333,0.017909,0.024287,0.054411
200,0.003731,0.002189,0.004386,0.082151,0.003558,0.003608,0.004676,0.006946,0.010701,0.007433
300,0.002200,0.001642,0.003323,0.041445,0.002599,0.002687,0.003039,0.003811,0.006673,0.006420
400,0.001549,0.001454,0.002831,0.041846,0.001932,0.001647,0.002037,0.003929,0.004793,0.004358
500,0.001185,0.001506,0.002495,0.030068,0.001539,0.001220,0.001516,0.003045,0.003093,0.003976
600,0.001080,0.001978,0.002768,0.011283,0.001403,0.001180,0.001294,0.004388,0.002692,0.002998
700,0.016371,0.005068,0.004062,0.016139,0.001686,0.001877,0.003713,0.003617,0.004194,0.006535
800,0.003507,0.002679,0.004090,0.029392,0.002763,0.002646,0.002738,0.005316,0.005436,0.013992
900,0.002241,0.001973,0.003270,0.009936,0.002131,0.001844,0.001765,0.003680,0.003251,0.005011
1000,0.001568,0.001580,0.002908,0.009729,0.001670,0.001410,0.001396,0.003320,0.002465,0.003531
1100,0.001358,0.001432,0.002673,0.008445,0.001454,0.001236,0.001207,0.002905,0.002388,0.002718
1200,0.001145,0.001443,0.002480,0.008042,0.001363,0.001159,0.001200,0.002816,0.002272,0.002420
