global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
1,inf,inf,inf,inf,inf,inf,0.008835,inf,inf,inf
2,inf,inf,inf,inf,inf,inf,0.012469,inf,inf,inf
3,inf,inf,inf,inf,0.018856,inf,0.012469,inf,inf,inf
4,inf,inf,inf,inf,0.018856,inf,0.012469,inf,0.024337,inf
5,inf,0.009046,inf,inf,0.018856,inf,0.012469,inf,0.024337,inf
6,inf,0.009046,inf,inf,0.018856,inf,0.012469,inf,0.027896,inf
7,inf,0.009046,inf,inf,0.018856,inf,0.011090,inf,0.027896,inf
8,inf,0.009046,inf,0.160518,0.018856,inf,0.011090,inf,0.027896,inf
9,0.144409,0.009046,inf,0.160518,0.018856,inf,0.011090,inf,0.027896,inf
10,0.073268,0.009046,inf,0.160518,0.018856,inf,0.011090,inf,0.027896,inf
100,0.054630,0.012785,0.011207,0.109242,0.011785,0.010569,0.011300,0.030153,0.025085,0.022320
200,0.005363,0.004112,0.008815,0.125722,0.009955,0.007952,0.010424,0.024064,0.023139,0.014404
300,0.002743,0.001855,0.008906,0.056454,0.009514,0.007198,0.008830,0.018964,0.021844,0.010301
400,0.002230,0.001462,0.008788,0.022968,0.007728,0.006879,0.007597,0.016342,0.020545,0.010168
500,0.002179,0.001450,0.008918,0.010560,0.007606,0.006784,0.007513,0.015169,0.019878,0.009824
600,0.002195,0.001452,0.008931,0.008638,0.007206,0.006537,0.007384,0.014350,0.018894,0.009528
700,0.002159,0.001392,0.008968,0.009894,0.006981,0.006354,0.007181,0.013665,0.018222,0.009097
800,0.002158,0.001405,0.009011,0.009212,0.006713,0.006270,0.006902,0.012412,0.016508,0.008653
900,0.002180,0.001527,0.009119,0.009425,0.006390,0.005991,0.006642,0.011362,0.015892,0.008173
1000,0.002162,0.001403,0.009125,0.009883,0.005990,0.005642,0.006489,0.010351,0.014925,0.007689
1100,0.002180,0.001433,0.009115,0.007887,0.005459,0.005339,0.006299,0.010241,0.014005,0.007468
1200,0.002136,0.001448,0.009170,0.009320,0.005040,0.004827,0.006042,0.010016,0.013527,0.007353
1300,0.002166,0.001497,0.009087,0.009843,0.004859,0.004663,0.005699,0.010008,0.012596,0.006972
1400,0.002143,0.001443,0.009090,0.009345,0.004575,0.004393,0.005460,0.009913,0.011698,0.006392
1500,0.002112,0.001415,0.009026,0.009424,0.004504,0.004231,0.005116,0.009901,0.011154,0.006432
1600,0.002119,0.001418,0.009067,0.008308,0.004286,0.003990,0.004804,0.009944,0.010243,0.006450
1700,0.002093,0.001406,0.009029,0.009855,0.004230,0.003888,0.004604,0.009870,0.009732,0.006316
1800,0.004318,0.001563,0.009223,0.067944,0.004425,0.004314,0.004904,0.010435,0.010379,0.006707
1900,0.002204,0.001479,0.009178,0.024256,0.004449,0.004047,0.004923,0.010212,0.010584,0.006743
2000,0.002139,0.001442,0.009127,0.011692,0.004188,0.003919,0.004591,0.009835,0.009719,0.006429
2100,0.002131,0.001453,0.009050,0.009887,0.004122,0.003890,0.004449,0.009892,0.009557,0.006269
2200,0.002072,0.001427,0.009043,0.008724,0.004124,0.003801,0.004352,0.009746,0.009115,0.006196
2300,0.002728,0.001429,0.008997,0.010274,0.004139,0.003829,0.004363,0.009701,0.009085,0.006120
2400,0.002171,0.001463,0.009032,0.009182,0.004018,0.003765,0.004235,0.009741,0.008718,0.006105
2500,0.002154,0.001422,0.009051,0.008665,0.004036,0.003774,0.004269,0.009618,0.008271,0.006009
2600,0.002125,0.001380,0.008995,0.009290,0.003996,0.003713,0.004165,0.009670,0.008427,0.005554
2700,0.002089,0.001379,0.008997,0.008928,0.003980,0.003693,0.004107,0.009638,0.008314,0.005847
2800,0.002079,0.001448,0.008908,0.008535,0.003959,0.003669,0.004079,0.009657,0.008187,0.005884
2900,0.002084,0.001434,0.008938,0.008387,0.003921,0.003668,0.003933,0.009618,0.008122,0.005695
