global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
1,inf,inf,0.002465,inf,inf,inf,inf,inf,inf,inf
2,inf,inf,0.002465,inf,inf,inf,0.000898,inf,inf,inf
3,0.000711,inf,0.002465,inf,inf,inf,0.000898,inf,inf,inf
4,0.000711,inf,0.002465,inf,inf,inf,0.000844,inf,inf,inf
5,0.000711,inf,0.002465,0.006767,inf,inf,0.000844,inf,inf,inf
6,0.000711,inf,0.002465,0.006767,inf,0.000896,0.000844,inf,inf,inf
7,0.000711,inf,0.002465,0.006767,inf,0.000896,0.000844,inf,inf,0.001343
8,0.000711,inf,0.002465,0.006767,0.000952,0.000896,0.000844,inf,inf,0.001343
9,0.000711,0.001364,0.002465,0.006767,0.000952,0.000896,0.000844,inf,inf,0.001343
10,0.000711,0.001364,0.002465,0.005573,0.000952,0.000896,0.000844,inf,inf,0.001343
100,0.000641,0.001156,0.002016,0.006515,0.000875,0.000812,0.000831,0.002419,0.001584,0.001449
200,0.000594,0.001117,0.001918,0.006431,0.000868,0.000788,0.000806,0.002465,0.001527,0.001467
300,0.000591,0.001116,0.001892,0.006611,0.000866,0.000797,0.000788,0.002379,0.001589,0.001332
400,0.000588,0.001052,0.001868,0.006626,0.000869,0.000780,0.000789,0.002391,0.001530,0.001393
500,0.000613,0.001146,0.001908,0.006717,0.000869,0.000781,0.000810,0.002352,0.001521,0.001484
600,0.000581,0.001102,0.001949,0.007453,0.000864,0.000787,0.000755,0.002351,0.001553,0.001492
700,0.000602,0.001092,0.001883,0.007714,0.000888,0.000760,0.000803,0.002355,0.001582,0.001319
800,0.000622,0.001150,0.001885,0.007263,0.000875,0.000774,0.000798,0.002423,0.001635,0.001553
900,0.000611,0.001092,0.001894,0.007013,0.000861,0.000781,0.000766,0.002386,0.001536,0.001422
1000,0.000601,0.001133,0.001919,0.007362,0.000868,0.000758,0.000792,0.002349,0.001583,0.001445
1100,0.000604,0.001189,0.001894,0.007137,0.000864,0.000783,0.000776,0.002345,0.001586,0.001467
1200,0.000573,0.001067,0.001907,0.006710,0.000881,0.000773,0.000805,0.002355,0.001569,0.001380
