global_batch,control_batch,arrow_task_batch,qa_task_batch
1,0.001389,inf,inf
2,0.001339,inf,inf
3,0.001289,inf,inf
4,0.001289,0.003204,inf
5,0.001289,0.003204,0.001068
6,0.001289,0.003181,0.001068
7,0.001329,0.003181,0.001068
8,0.001329,0.003159,0.001068
9,0.001329,0.003159,0.001087
10,0.001329,0.003201,0.001087
100,0.001275,0.003206,0.001088
200,0.001215,0.003195,0.001089
300,0.001241,0.003270,0.001098
400,0.001279,0.003205,0.001107
500,0.001245,0.003187,0.001105
600,0.001239,0.003205,0.001084
700,0.001227,0.003217,0.001091
800,0.001255,0.003175,0.001100
900,0.001269,0.003210,0.001092
1000,0.001228,0.003220,0.001085
1100,0.001250,0.003172,0.001085
1200,0.001243,0.003215,0.001092
1300,0.001243,0.003192,0.001074
1400,0.001226,0.003210,0.001069
1500,0.001247,0.003183,0.001074
1600,0.001226,0.003178,0.001123
1700,0.001260,0.003172,0.001075
1800,0.001227,0.003160,0.001087
1900,0.001248,0.003229,0.001102
2000,0.001234,0.003229,0.001081
2100,0.001303,0.003187,0.001086
2200,0.001285,0.003171,0.001086
2300,0.001233,0.003243,0.001087
2400,0.001189,0.003213,0.001078
2500,0.001283,0.003204,0.001088
2600,0.001274,0.003146,0.001089
2700,0.001266,0.003230,0.001087
2800,0.001253,0.003147,0.001107
2900,0.001250,0.003181,0.001085
3000,0.001231,0.003203,0.001080
3100,0.001216,0.003166,0.001087
3200,0.001298,0.003204,0.001083
3300,0.001228,0.003199,0.001089
3400,0.001271,0.003200,0.001107
3500,0.001219,0.003136,0.001086
3600,0.001242,0.003197,0.001084
3700,0.001234,0.003127,0.001078
3800,0.001218,0.003151,0.001078
3900,0.001264,0.003165,0.001082
4000,0.001250,0.003176,0.001073
4100,0.001239,0.003261,0.001102
4200,0.001245,0.003220,0.001085
4300,0.001252,0.003164,0.001087
4400,0.001233,0.003165,0.001082
4500,0.001243,0.003166,0.001078
4600,0.001226,0.003162,0.001087
4700,0.001276,0.003200,0.001089
4800,0.001252,0.003167,0.001071
4900,0.001298,0.003147,0.001088
5000,0.001259,0.003194,0.001095
5100,0.001213,0.003164,0.001083
5200,0.001247,0.003153,0.001078
5300,0.001219,0.003144,0.001080
5400,0.001202,0.003187,0.001094
5500,0.001240,0.003101,0.001091
5600,0.001226,0.003168,0.001104
