global_batch,control_batch,arrow_task_batch,qa_task_batch
1,inf,inf,0.001104
2,inf,inf,0.002736
3,0.002209,inf,0.002736
4,0.002209,0.004879,0.002736
5,0.003580,0.004879,0.002736
6,0.003580,0.005612,0.002736
7,0.003580,0.005644,0.002736
8,0.003580,0.005363,0.002736
9,0.003580,0.005243,0.002736
10,0.003580,0.005217,0.002736
100,0.003411,0.004773,0.001567
200,0.002327,0.004486,0.001345
300,0.001409,0.004149,0.001182
400,0.001378,0.004171,0.001135
500,0.001542,0.004276,0.001279
600,0.001457,0.004333,0.001155
700,0.001616,0.004040,0.001217
800,0.001553,0.004188,0.001169
900,0.001628,0.004190,0.001188
1000,0.001421,0.003950,0.001131
1100,0.001690,0.003929,0.001163
1200,0.001352,0.004032,0.001161
1300,0.001266,0.003983,0.001142
1400,0.001291,0.004116,0.001142
1500,0.001410,0.003921,0.001141
1600,0.001560,0.003959,0.001181
1700,0.001420,0.004042,0.001187
1800,0.018927,0.007735,0.004573
1900,0.005287,0.005445,0.001921
2000,0.002132,0.004660,0.001315
2100,0.001918,0.004308,0.001276
2200,0.001656,0.004095,0.001201
2300,0.001624,0.003995,0.001213
2400,0.001535,0.003953,0.001181
2500,0.001413,0.003877,0.001153
2600,0.001489,0.003811,0.001133
2700,0.001403,0.003746,0.001139
2800,0.001468,0.003764,0.001151
2900,0.001410,0.003740,0.001259
3000,0.001262,0.003622,0.001146
3100,0.001387,0.003824,0.001134
3200,0.001337,0.003909,0.001145
3300,0.001279,0.003829,0.001122
3400,0.001430,0.003677,0.001165
3500,0.001330,0.003666,0.001117
3600,0.001359,0.003782,0.001611
3700,0.001352,0.003693,0.001198
3800,0.001246,0.003654,0.001120
3900,0.001253,0.003621,0.001160
4000,0.001266,0.003551,0.001155
4100,0.001226,0.003684,0.001092
4200,0.001558,0.003649,0.001195
4300,0.001237,0.003541,0.001116
4400,0.001203,0.003603,0.001123
4500,0.001219,0.003518,0.001104
4600,0.001236,0.003476,0.001112
4700,0.001341,0.003577,0.001121
4800,0.001727,0.003722,0.001279
4900,0.001371,0.003657,0.001159
5000,0.001751,0.004034,0.001271
5100,0.001251,0.003689,0.001119
5200,0.001279,0.003570,0.001160
5300,0.001234,0.003482,0.001118
5400,0.001213,0.003438,0.001132
5500,0.001234,0.003468,0.001144
5600,0.001211,0.003313,0.001123
5700,0.001177,0.003326,0.001120
5800,0.001204,0.003453,0.001103
5900,0.001198,0.003487,0.001136
6000,0.001193,0.003301,0.001136
6100,0.001139,0.003399,0.001107
6200,0.001282,0.003254,0.001129
6300,0.002032,0.003422,0.001248
6400,0.001260,0.003336,0.001128
6500,0.001174,0.003399,0.001112
6600,0.001233,0.003235,0.001103
6700,0.001167,0.003360,0.001117
6800,0.001225,0.003364,0.001100
6900,0.042629,0.011713,0.008723
7000,0.032736,0.010018,0.007103
7100,0.012280,0.007511,0.004513
7200,0.003674,0.005241,0.001944
7300,0.002605,0.005019,0.001647
7400,0.002219,0.004956,0.001556
7500,0.001980,0.004829,0.001481
7600,0.001848,0.004875,0.001433
7700,0.001788,0.004629,0.001376
7800,0.001619,0.004478,0.001336
7900,0.001574,0.004186,0.001335
8000,0.001582,0.004039,0.001294
8100,0.001521,0.003780,0.001266
8200,0.001450,0.003707,0.001250
8300,0.001429,0.003654,0.001228
8400,0.001453,0.003581,0.001204
8500,0.001375,0.003506,0.001210
8600,0.001288,0.003454,0.001192
8700,0.001376,0.003531,0.001208
8800,0.001364,0.003371,0.001192
8900,0.001315,0.003338,0.001195
9000,0.001251,0.003301,0.001171
9100,0.001220,0.003265,0.001163
9200,0.001463,0.003543,0.001318
9300,0.001333,0.003338,0.001194
9400,0.001217,0.003330,0.001154
9500,0.001205,0.003162,0.001151
9600,0.001200,0.003052,0.001142
9700,0.001310,0.003296,0.001167
9800,0.001244,0.003175,0.001148
9900,0.001250,0.003110,0.001161
10000,0.001142,0.002991,0.001122
10100,0.001176,0.003288,0.001123
10200,0.001320,0.003077,0.001155
10300,0.001304,0.003122,0.001136
10400,0.001238,0.003304,0.001129
10500,0.001148,0.002992,0.001125
10600,0.001161,0.003046,0.001140
10700,0.001158,0.002824,0.001124
10800,0.001068,0.002916,0.001105
10900,0.001113,0.002942,0.001127
11000,0.001065,0.002916,0.001103
11100,0.001049,0.002967,0.001101
11200,0.001554,0.003007,0.001198
11300,0.001120,0.003014,0.001111
11400,0.001066,0.002898,0.001099
11500,0.001091,0.002824,0.001118
11600,0.001064,0.002829,0.001103
11700,0.001032,0.002973,0.001096
11800,0.001087,0.002902,0.001104
11900,0.001066,0.002999,0.001091
12000,0.001049,0.002851,0.001070
12100,0.001098,0.003026,0.001106
12200,0.001118,0.002853,0.001120
12300,0.001032,0.002806,0.001116
12400,0.001052,0.003066,0.001080
12500,0.001050,0.002925,0.001109
12600,0.001270,0.003092,0.001129
12700,0.001231,0.002983,0.001156
12800,0.001072,0.002890,0.001094
12900,0.001033,0.002856,0.001102
13000,0.001205,0.003030,0.001177
13100,0.001094,0.002770,0.001124
13200,0.001184,0.003105,0.001155
