global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
1,inf,inf,inf,0.009416
2,inf,inf,inf,0.009266
3,0.157106,inf,inf,0.009266
4,0.157106,0.001642,inf,0.009266
5,0.157106,0.001642,inf,0.009215
6,0.157106,0.001642,0.013395,0.009215
7,0.157106,0.001672,0.013395,0.009215
8,0.157106,0.001672,0.012620,0.009215
9,0.157106,0.001672,0.012620,0.008980
10,0.157106,0.001672,0.012620,0.008650
100,0.038901,0.003324,0.008202,0.022091
200,0.004477,0.001665,0.001824,0.018998
300,0.003248,0.001774,0.001868,0.016578
400,0.003639,0.001656,0.001838,0.013389
500,0.006957,0.002047,0.003010,0.016026
600,0.002884,0.001710,0.001400,0.018176
700,0.001117,0.001597,0.001457,0.012091
800,0.001431,0.001730,0.001252,0.020867
900,0.001338,0.001507,0.001137,0.014112
1000,0.001953,0.001391,0.001078,0.015719
1100,0.001933,0.001418,0.001171,0.018790
1200,0.004201,0.001599,0.001348,0.010511
1300,0.003714,0.002839,0.001898,0.017001
1400,0.001395,0.001564,0.001249,0.011142
1500,0.000972,0.001449,0.001171,0.010430
1600,0.003356,0.001928,0.001337,0.011398
1700,0.002825,0.001640,0.001272,0.010145
1800,0.003525,0.001840,0.001713,0.013032
1900,0.006162,0.002317,0.016033,0.017052
2000,0.063842,0.012891,0.016959,0.018377
2100,0.053316,0.011278,0.011294,0.019424
2200,0.059675,0.010222,0.010438,0.016321
2300,0.056372,0.015333,0.014974,0.020954
2400,0.042078,0.010468,0.010625,0.027228
2500,0.065247,0.011146,0.014476,0.022220
2600,0.030894,0.007762,0.008738,0.013924
2700,0.016997,0.006547,0.008763,0.021353
2800,0.037067,0.009690,0.011299,0.020006
2900,0.008582,0.006285,0.006070,0.027542
3000,0.006599,0.005310,0.003335,0.021265
3100,0.006903,0.005534,0.003403,0.017491
3200,0.005121,0.005178,0.002747,0.015420
3300,0.004240,0.005269,0.003745,0.024204
3400,0.003089,0.005080,0.002023,0.027195
3500,0.003023,0.004901,0.001813,0.017237
3600,0.002271,0.005009,0.001869,0.020693
3700,0.002076,0.004968,0.001794,0.022886
3800,0.002812,0.004839,0.001724,0.017919
3900,0.002760,0.005171,0.002340,0.017288
4000,0.005053,0.005088,0.001756,0.014728
4100,0.003843,0.004915,0.001714,0.020002
4200,0.001996,0.004835,0.002510,0.019043
4300,0.004188,0.005884,0.001857,0.012957
4400,0.001559,0.004791,0.001600,0.014389
4500,0.001682,0.004626,0.001704,0.018460
4600,0.001547,0.004848,0.001617,0.019961
4700,0.001360,0.004805,0.001527,0.015800
4800,0.002473,0.004749,0.001611,0.016827
4900,0.002273,0.004845,0.001751,0.016848
5000,0.002035,0.004831,0.001812,0.019197
5100,0.001362,0.004319,0.001378,0.011679
5200,0.005104,0.004453,0.002437,0.023828
5300,0.002751,0.005004,0.001803,0.013881
5400,0.002136,0.004703,0.001458,0.013926
5500,0.001280,0.004064,0.001417,0.011266
5600,0.001991,0.003984,0.001482,0.014666
5700,0.001944,0.002606,0.001404,0.015008
5800,0.003861,0.002335,0.001228,0.012111
5900,0.014249,0.005895,0.004642,0.015806
6000,0.034369,0.006898,0.004382,0.012217
6100,0.017357,0.005412,0.002161,0.015621
6200,0.017277,0.009019,0.004709,0.020310
6300,0.102736,0.020545,0.016060,0.018924
6400,0.081843,0.012765,0.017330,0.019580
6500,0.087777,0.016584,0.039960,0.020648
6600,0.058892,0.012837,0.049977,0.026631
6700,0.046037,0.011390,0.034323,0.027141
6800,0.051203,0.011350,0.028960,0.023998
6900,0.039073,0.009844,0.010391,0.013973
7000,0.044330,0.014468,0.009400,0.016383
7100,0.035698,0.016113,0.009221,0.020539
7200,0.030404,0.010455,0.006218,0.017540
7300,0.030300,0.010019,0.005537,0.015061
7400,0.028779,0.009036,0.005124,0.016594
7500,0.027911,0.009461,0.005107,0.019146
7600,0.027989,0.009255,0.005360,0.014573
7700,0.028603,0.008315,0.008304,0.016474
7800,0.031098,0.009667,0.009624,0.019124
7900,0.044788,0.013348,0.026945,0.022196
8000,0.037863,0.008486,0.020128,0.019667
8100,0.029098,0.008209,0.011563,0.018617
8200,0.026780,0.007727,0.010250,0.013956
8300,0.024625,0.007859,0.009456,0.020123
8400,0.022342,0.007501,0.008123,0.017379
8500,0.031699,0.009370,0.014509,0.023680
8600,0.030421,0.009464,0.013688,0.022662
8700,0.030186,0.007970,0.011222,0.018271
8800,0.029939,0.008198,0.009909,0.020561
8900,0.026425,0.009161,0.008856,0.024214
9000,0.030648,0.008344,0.008049,0.017112
9100,0.027748,0.007877,0.007441,0.013737
9200,0.027078,0.009829,0.007686,0.017030
9300,0.022442,0.007962,0.006346,0.013004
9400,0.020992,0.007654,0.005991,0.012869
9500,0.018024,0.007260,0.005192,0.012296
9600,0.014722,0.007152,0.004942,0.008803
9700,0.011645,0.006999,0.004207,0.007910
9800,0.012629,0.006602,0.004815,0.009833
9900,0.009486,0.006140,0.004071,0.008614
10000,0.008241,0.005708,0.003559,0.006698
10100,0.008154,0.006669,0.003391,0.010475
10200,0.024923,0.008075,0.007657,0.010204
10300,0.009916,0.006976,0.003923,0.008828
10400,0.011370,0.006560,0.004843,0.010741
10500,0.008032,0.006160,0.003889,0.009082
10600,0.007206,0.006299,0.003525,0.008978
10700,0.005861,0.005908,0.003244,0.011624
10800,0.004848,0.005636,0.002962,0.007418
10900,0.004836,0.005733,0.002606,0.010817
11000,0.002962,0.005160,0.002139,0.006477
11100,0.002496,0.004953,0.002009,0.007365
11200,0.003462,0.005988,0.002733,0.012624
11300,0.008273,0.005994,0.003593,0.008475
11400,0.002680,0.005013,0.002198,0.005094
11500,0.003305,0.004917,0.002205,0.005930
11600,0.002229,0.005091,0.002006,0.003629
11700,0.003352,0.004956,0.001893,0.004972
11800,0.001713,0.004878,0.001705,0.004974
11900,0.001680,0.004890,0.001480,0.004927
12000,0.001496,0.004673,0.001427,0.003005
12100,0.001664,0.004864,0.001484,0.003214
12200,0.001396,0.004661,0.001420,0.006709
12300,0.003001,0.004755,0.001373,0.004467
12400,0.003017,0.004722,0.001932,0.007064
12500,0.010474,0.007505,0.003984,0.014332
12600,0.024240,0.012049,0.006407,0.013157
12700,0.009933,0.006319,0.003869,0.012923
12800,0.003576,0.005476,0.002233,0.012269
12900,0.002325,0.004975,0.001994,0.011743
13000,0.001847,0.005147,0.001783,0.021208
13100,0.002181,0.005478,0.001844,0.017594
13200,0.002207,0.005385,0.001890,0.011110
13300,0.004042,0.006211,0.002600,0.012511
13400,0.003749,0.005713,0.002550,0.006206
13500,0.002575,0.004830,0.001906,0.005341
13600,0.002373,0.005130,0.002216,0.004135
13700,0.001758,0.004824,0.001728,0.003302
13800,0.003096,0.005393,0.002076,0.004942
13900,0.001685,0.004775,0.002253,0.003801
14000,0.001540,0.004880,0.001513,0.002442
14100,0.001357,0.004630,0.001394,0.002283
14200,0.001582,0.005065,0.001607,0.003850
14300,0.001329,0.004759,0.001491,0.002409
14400,0.001603,0.004810,0.001766,0.003164
14500,0.004799,0.006475,0.003269,0.007058
14600,0.012759,0.005677,0.002813,0.006924
14700,0.018223,0.005498,0.002457,0.005028
14800,0.009491,0.005073,0.002237,0.004264
14900,0.003098,0.005221,0.001899,0.005175
15000,0.002607,0.004911,0.001595,0.003774
15100,0.001671,0.004825,0.001486,0.002007
15200,0.001434,0.004754,0.001484,0.002043
15300,0.001726,0.004654,0.001437,0.001567
15400,0.001625,0.004703,0.001455,0.001453
15500,0.003479,0.004611,0.001676,0.003148
15600,0.009167,0.004886,0.001849,0.002566
15700,0.003367,0.004958,0.001832,0.002527
15800,0.001768,0.004692,0.001517,0.002918
15900,0.001569,0.004813,0.001431,0.002053
16000,0.001677,0.004790,0.001408,0.001796
16100,0.001372,0.004623,0.001377,0.001582
16200,0.001260,0.004624,0.001360,0.001475
16300,0.001222,0.004561,0.001307,0.001959
16400,0.001321,0.004014,0.001240,0.001723
16500,0.001214,0.004136,0.001198,0.001804
16600,0.001122,0.002649,0.001196,0.001800
16700,0.001666,0.003149,0.001223,0.001675
16800,0.002501,0.003283,0.001311,0.003222
16900,0.003597,0.005488,0.002333,0.005437
17000,0.003298,0.005262,0.001739,0.003497
17100,0.001416,0.004655,0.001481,0.001840
17200,0.001191,0.004283,0.001264,0.002025
17300,0.001221,0.003830,0.001247,0.002136
17400,0.002566,0.002862,0.001164,0.001486
17500,0.001068,0.002168,0.001149,0.001414
17600,0.001050,0.002558,0.001178,0.002015
17700,0.001368,0.003126,0.001494,0.002962
17800,0.001452,0.004818,0.003268,0.002540
17900,0.002031,0.004789,0.002064,0.002505
18000,0.002725,0.005014,0.001816,0.003148
18100,0.001897,0.004845,0.001718,0.007026
18200,0.002396,0.004834,0.001531,0.006887
18300,0.001500,0.004731,0.001437,0.004112
18400,0.005911,0.005529,0.002872,0.006665
18500,0.014691,0.006093,0.004616,0.008578
18600,0.025445,0.006756,0.005178,0.013704
18700,0.014766,0.006128,0.003387,0.007766
18800,0.004322,0.005137,0.002037,0.004627
18900,0.004460,0.005194,0.001942,0.003645
19000,0.002765,0.005079,0.001762,0.002347
19100,0.003378,0.004948,0.001763,0.002841
19200,0.002702,0.004938,0.001615,0.001587
19300,0.001875,0.004894,0.001544,0.001556
19400,0.001716,0.004806,0.001519,0.001228
19500,0.001426,0.004677,0.001390,0.001377
19600,0.002058,0.004683,0.002466,0.002364
19700,0.001887,0.004730,0.001687,0.002145
19800,0.001651,0.004508,0.001472,0.001518
19900,0.001494,0.004478,0.001371,0.002085
20000,0.001290,0.004401,0.001328,0.001284
20100,0.001245,0.004168,0.001296,0.001397
20200,0.001240,0.003794,0.001213,0.001558
20300,0.001233,0.003266,0.001226,0.001001
20400,0.001103,0.002853,0.001377,0.001603
20500,0.001095,0.002617,0.001153,0.001016
20600,0.001030,0.002640,0.001227,0.001253
20700,0.001125,0.002674,0.001463,0.002062
20800,0.008935,0.007457,0.003670,0.010536
20900,0.002786,0.005509,0.001668,0.003403
21000,0.001417,0.004524,0.001376,0.002521
21100,0.001251,0.003580,0.001324,0.004738
21200,0.001121,0.002783,0.001216,0.002130
21300,0.001106,0.002469,0.001164,0.001933
21400,0.001104,0.002443,0.001159,0.002809
21500,0.001564,0.001979,0.001143,0.002587
21600,0.001002,0.002076,0.001086,0.001140
21700,0.000987,0.001867,0.001086,0.001815
21800,0.001614,0.002247,0.001138,0.003470
21900,0.001103,0.002054,0.001177,0.002834
22000,0.001056,0.002037,0.001080,0.001799
22100,0.000960,0.001865,0.001108,0.002214
22200,0.000937,0.001787,0.001053,0.002564
22300,0.000922,0.001652,0.001070,0.000986
22400,0.000858,0.001582,0.001154,0.001103
22500,0.002460,0.001862,0.002097,0.000988
22600,0.001078,0.001880,0.001350,0.001114
22700,0.001094,0.001673,0.001158,0.001497
22800,0.003341,0.004625,0.002292,0.002627
22900,0.001774,0.004253,0.001302,0.000921
23000,0.001625,0.003890,0.001445,0.002346
23100,0.002052,0.002956,0.001149,0.001491
23200,0.001801,0.002405,0.001243,0.001708
23300,0.001067,0.002057,0.001134,0.001805
23400,0.001475,0.002358,0.001351,0.003516
23500,0.002088,0.002019,0.001358,0.001871
23600,0.001031,0.001840,0.001192,0.001722
23700,0.000964,0.001684,0.001103,0.000791
23800,0.001127,0.001712,0.001078,0.000973
23900,0.001744,0.001601,0.001050,0.002408
24000,0.000830,0.001611,0.001064,0.001509
24100,0.000805,0.001559,0.001044,0.000831
24200,0.000834,0.001561,0.001043,0.000879
24300,0.006168,0.002989,0.001413,0.001610
24400,0.010076,0.007426,0.003194,0.009580
24500,0.003527,0.005297,0.002655,0.004798
24600,0.021840,0.010260,0.007657,0.017723
24700,0.018444,0.006625,0.006552,0.015303
24800,0.068032,0.015643,0.019435,0.009917
24900,0.093219,0.019458,0.016964,0.009763
25000,0.064283,0.013444,0.013272,0.014724
25100,0.036956,0.014826,0.015792,0.011902
25200,0.047092,0.011543,0.009397,0.009265
25300,0.045300,0.008157,0.008208,0.006960
25400,0.062082,0.010040,0.012767,0.004758
25500,0.041466,0.010599,0.006551,0.012282
25600,0.029224,0.011909,0.011294,0.010824
25700,0.033288,0.008274,0.010146,0.007963
25800,0.021393,0.010570,0.007637,0.007675
25900,0.011303,0.009021,0.005964,0.010505
26000,0.012381,0.011579,0.005711,0.008017
26100,0.010477,0.007150,0.005027,0.005789
26200,0.004871,0.010089,0.005544,0.009213
26300,0.007822,0.009177,0.004711,0.010757
26400,0.005339,0.009936,0.005763,0.006936
26500,0.003603,0.009660,0.003631,0.008079
26600,0.004368,0.005260,0.002680,0.010014
26700,0.005877,0.005317,0.002490,0.006372
26800,0.003601,0.005003,0.002251,0.008693
26900,0.003913,0.004823,0.002188,0.006818
27000,0.003201,0.004681,0.002556,0.006336
27100,0.002781,0.004697,0.002086,0.007294
27200,0.002903,0.004888,0.001895,0.007100
27300,0.002478,0.004596,0.001825,0.006851
27400,0.002570,0.004641,0.003113,0.004580
27500,0.003296,0.004569,0.003277,0.005291
27600,0.003282,0.004655,0.002058,0.006213
27700,0.002673,0.004363,0.002219,0.006095
27800,0.002616,0.003636,0.001734,0.007397
27900,0.004300,0.005159,0.002434,0.008354
28000,0.002490,0.004867,0.001901,0.008814
28100,0.002894,0.004754,0.001775,0.005749
28200,0.002552,0.004781,0.001723,0.009225
28300,0.002105,0.004685,0.001776,0.008929
28400,0.002006,0.004573,0.001647,0.006950
28500,0.001952,0.004510,0.001644,0.005676
28600,0.004788,0.004785,0.003734,0.007692
28700,0.023856,0.010570,0.004372,0.011735
28800,0.004502,0.005028,0.003188,0.005167
28900,0.003597,0.005038,0.002178,0.005666
29000,0.002741,0.004677,0.001971,0.006468
29100,0.002721,0.004675,0.001823,0.005910
29200,0.002426,0.004630,0.001837,0.004608
29300,0.002342,0.004578,0.001759,0.005636
29400,0.002138,0.004094,0.001636,0.005444
29500,0.002429,0.004830,0.001743,0.004025
29600,0.002100,0.004584,0.001576,0.003635
29700,0.001963,0.004324,0.001518,0.006270
29800,0.001936,0.004391,0.001520,0.005698
29900,0.001785,0.004406,0.001444,0.004265
30000,0.001858,0.004256,0.001467,0.007341
30100,0.002033,0.003331,0.001435,0.002612
30200,0.001696,0.002625,0.001396,0.006044
30300,0.001589,0.002442,0.001336,0.005642
30400,0.002041,0.003213,0.001494,0.011520
30500,0.003644,0.003462,0.001612,0.007672
30600,0.001654,0.002689,0.001405,0.005520
30700,0.001391,0.002246,0.001308,0.002698
30800,0.001355,0.002375,0.001302,0.008531
30900,0.002221,0.003542,0.001516,0.005118
31000,0.002240,0.003807,0.001768,0.006994
31100,0.004369,0.005026,0.002999,0.005328
31200,0.003023,0.005307,0.002425,0.005228
31300,0.002100,0.005013,0.001858,0.004540
31400,0.002874,0.004950,0.002398,0.006628
31500,0.002066,0.004642,0.002448,0.002849
31600,0.001545,0.003799,0.001481,0.002677
31700,0.001592,0.004025,0.001502,0.003745
31800,0.001998,0.004675,0.001947,0.004505
31900,0.001866,0.003562,0.001596,0.006949
32000,0.001642,0.004372,0.001709,0.002138
32100,0.001320,0.002962,0.001389,0.004210
