global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch
1,inf,inf,inf,0.014623
2,0.231528,inf,inf,0.014623
3,0.231528,inf,0.023814,0.014623
4,0.231528,0.001823,0.023814,0.014623
5,0.231528,0.001823,0.023814,0.015897
6,0.231528,0.001823,0.023814,0.017304
7,0.231528,0.001823,0.021273,0.017304
8,0.231528,0.001823,0.021273,0.016959
9,0.204613,0.001823,0.021273,0.016959
10,0.204613,0.002232,0.021273,0.016959
100,0.072547,0.002898,0.019149,0.020279
200,0.019050,0.002700,0.018941,0.016039
300,0.016878,0.001775,0.014624,0.013741
400,0.007747,0.002027,0.011524,0.014652
500,0.008285,0.002053,0.011378,0.012805
600,0.004146,0.001794,0.011115,0.012824
700,0.003267,0.001773,0.010690,0.012395
800,0.003905,0.001796,0.010647,0.015275
900,0.004593,0.002019,0.010792,0.012082
1000,0.003001,0.001618,0.010589,0.012174
1100,0.006818,0.003971,0.011976,0.023764
1200,0.007378,0.005348,0.011848,0.015169
1300,0.003687,0.002823,0.010906,0.013278
1400,0.003364,0.002070,0.010626,0.011682
1500,0.003443,0.003009,0.010737,0.014040
1600,0.003578,0.004676,0.010743,0.011803
1700,0.003351,0.002590,0.010474,0.011299
1800,0.003023,0.002212,0.010911,0.011612
1900,0.002976,0.002012,0.010334,0.010703
2000,0.003004,0.002114,0.010291,0.011260
2100,0.002873,0.001851,0.010163,0.010349
2200,0.002978,0.001850,0.010098,0.010610
2300,0.002858,0.001826,0.010069,0.010408
2400,0.002809,0.001811,0.009989,0.010139
2500,0.002785,0.001731,0.009947,0.009851
2600,0.002749,0.001763,0.009912,0.009209
2700,0.002744,0.001796,0.009873,0.009533
2800,0.004401,0.001863,0.010006,0.009457
2900,0.003405,0.002066,0.010061,0.009058
3000,0.003143,0.002446,0.010261,0.009491
3100,0.002924,0.002131,0.010064,0.009241
3200,0.002846,0.002009,0.009947,0.008822
3300,0.002771,0.001878,0.009803,0.009057
3400,0.002762,0.001777,0.009923,0.009146
3500,0.002688,0.001688,0.009686,0.009273
3600,0.002648,0.001719,0.009634,0.009231
3700,0.002620,0.001665,0.009601,0.009506
3800,0.002625,0.001698,0.009560,0.009021
3900,0.002601,0.001716,0.009521,0.009555
4000,0.002961,0.002172,0.009769,0.009655
4100,0.004056,0.001956,0.009833,0.011390
4200,0.003572,0.003328,0.010029,0.010664
4300,0.002892,0.002229,0.009720,0.009208
4400,0.002738,0.001945,0.009685,0.008873
4500,0.002715,0.001830,0.009634,0.009197
4600,0.003133,0.001810,0.009599,0.008619
4700,0.002674,0.001910,0.009548,0.008627
4800,0.002645,0.001669,0.010143,0.008912
4900,0.002889,0.002117,0.009537,0.008631
5000,0.002575,0.001841,0.009491,0.008961
5100,0.002560,0.001681,0.009480,0.009708
5200,0.002610,0.001791,0.009465,0.010907
5300,0.002618,0.001766,0.009499,0.009378
5400,0.002547,0.001664,0.009440,0.008834
5500,0.002584,0.001688,0.009496,0.009870
5600,0.002688,0.001653,0.009495,0.010067
5700,0.002598,0.001712,0.009570,0.009128
5800,0.002553,0.001753,0.009382,0.008909
5900,0.002500,0.001602,0.009376,0.009136
6000,0.002492,0.001604,0.009345,0.008914
6100,0.002489,0.001545,0.009330,0.009238
6200,0.002483,0.001585,0.009319,0.008989
6300,0.002471,0.001565,0.009301,0.009083
6400,0.002458,0.001516,0.009293,0.009062
6500,0.002479,0.001620,0.009251,0.008628
6600,0.002715,0.001655,0.009354,0.009264
6700,0.003748,0.001968,0.009515,0.009718
6800,0.002584,0.001931,0.009369,0.008875
6900,0.002562,0.001789,0.009311,0.009232
7000,0.002519,0.001636,0.009347,0.009575
7100,0.003416,0.002373,0.009630,0.009382
7200,0.002682,0.001877,0.009427,0.008977
7300,0.002560,0.001677,0.009350,0.008863
7400,0.002563,0.001622,0.009308,0.008827
7500,0.002525,0.001674,0.009332,0.009278
7600,0.002499,0.001634,0.009259,0.008810
7700,0.002453,0.001531,0.009251,0.008416
7800,0.002441,0.001629,0.009233,0.008422
7900,0.002487,0.001824,0.009251,0.008677
8000,0.002408,0.001634,0.009219,0.009279
8100,0.002434,0.001560,0.009200,0.009101
8200,0.002432,0.001578,0.009161,0.009065
8300,0.002444,0.001530,0.009192,0.008621
8400,0.002405,0.001635,0.009156,0.008890
8500,0.002392,0.001577,0.009164,0.008070
8600,0.002406,0.001601,0.009153,0.008665
8700,0.002390,0.001685,0.009152,0.008780
8800,0.002377,0.001574,0.009151,0.008314
8900,0.002368,0.001779,0.009116,0.008624
9000,0.002378,0.001514,0.009089,0.008276
9100,0.002365,0.001573,0.009108,0.008544
9200,0.002352,0.001574,0.009107,0.008777
9300,0.002356,0.001544,0.009084,0.008455
9400,0.002352,0.001638,0.009098,0.008224
9500,0.002338,0.001639,0.009056,0.008453
9600,0.002327,0.001819,0.009076,0.008765
9700,0.002669,0.002092,0.009394,0.014655
9800,0.002545,0.002233,0.009297,0.009611
9900,0.002510,0.001844,0.009122,0.009235
10000,0.002424,0.001756,0.009107,0.008194
10100,0.002342,0.001715,0.009079,0.008683
10200,0.002342,0.001562,0.009048,0.008550
10300,0.002352,0.001596,0.009047,0.008225
10400,0.002317,0.001637,0.009034,0.008454
10500,0.002307,0.001703,0.009062,0.008707
10600,0.003283,0.001722,0.009031,0.008397
10700,0.002322,0.001603,0.009041,0.008390
10800,0.002322,0.001711,0.009004,0.009671
10900,0.003260,0.004079,0.009744,0.022493
11000,0.002493,0.003007,0.009263,0.009133
11100,0.002455,0.002332,0.009155,0.009878
11200,0.002413,0.002052,0.009121,0.008893
11300,0.002416,0.001764,0.009297,0.008921
11400,0.002760,0.001697,0.009072,0.008881
11500,0.002360,0.001700,0.009037,0.008135
11600,0.002334,0.001639,0.009044,0.008358
11700,0.002422,0.001692,0.009014,0.008615
11800,0.002307,0.001639,0.009037,0.008754
11900,0.002312,0.001601,0.009005,0.008845
12000,0.002294,0.001682,0.009015,0.008400
12100,0.002295,0.001559,0.008981,0.008499
12200,0.002299,0.001584,0.009000,0.008284
12300,0.002293,0.001642,0.008980,0.008771
12400,0.002291,0.001675,0.008983,0.008582
12500,0.002279,0.001562,0.008968,0.008581
12600,0.002267,0.001616,0.008964,0.007924
12700,0.002292,0.001717,0.008950,0.008232
12800,0.002278,0.001590,0.008968,0.008196
12900,0.002245,0.001613,0.008953,0.008840
13000,0.002280,0.001643,0.008937,0.009795
13100,0.002266,0.001645,0.008965,0.008333
13200,0.002303,0.001638,0.008946,0.008169
13300,0.002305,0.001690,0.008961,0.008737
13400,0.002302,0.001846,0.008963,0.008534
13500,0.002293,0.001893,0.008954,0.008650
13600,0.002255,0.001614,0.008918,0.007924
13700,0.002278,0.001572,0.009012,0.009687
13800,0.006472,0.002411,0.009313,0.010998
13900,0.002506,0.001948,0.009055,0.008479
14000,0.002436,0.001837,0.009000,0.009305
14100,0.005237,0.002171,0.009162,0.008465
14200,0.002523,0.002119,0.009032,0.008533
14300,0.002363,0.001631,0.008973,0.008654
14400,0.002330,0.001609,0.008987,0.008205
14500,0.002328,0.001553,0.008946,0.008824
14600,0.002303,0.001558,0.008950,0.008487
14700,0.002298,0.001612,0.008947,0.008214
14800,0.002282,0.001597,0.008919,0.008406
14900,0.002283,0.001605,0.008919,0.008557
15000,0.002276,0.001584,0.008923,0.009811
15100,0.002335,0.002352,0.008953,0.008754
15200,0.002299,0.001646,0.008936,0.008813
15300,0.002275,0.001669,0.008926,0.008666
15400,0.002276,0.001583,0.008918,0.008370
15500,0.002256,0.001580,0.008894,0.008330
15600,0.002263,0.001651,0.008906,0.008202
15700,0.002254,0.001645,0.008908,0.008809
15800,0.002262,0.001611,0.008883,0.008425
15900,0.002241,0.001638,0.008897,0.008290
16000,0.002250,0.001585,0.008888,0.008088
16100,0.002251,0.001730,0.008890,0.008450
16200,0.002228,0.001577,0.008888,0.008407
16300,0.002233,0.001616,0.008872,0.008808
16400,0.002240,0.001591,0.008825,0.008785
16500,0.002221,0.001583,0.008864,0.008517
16600,0.002223,0.001625,0.008868,0.008130
16700,0.002238,0.001867,0.008866,0.008663
16800,0.002228,0.001634,0.008870,0.008387
16900,0.002227,0.001527,0.008843,0.008116
